ShowDate	Venue	City	State	Set1	Set2	Set3	Comment	LastUpdate	UpdateID
03/03/89	Orpheum Theatre	San Francisco	CA	Let's Spend The Night Together, Stop That Train, Forever Young, Run For The Roses, Like A Road, That's What Love Will Make You Do, Hope It Won't Be This Way-> Deal	The Harder They Come, Waiting For A Miracle, Someday Baby, And It Stoned Me, Evangeline, Don't Let Go, That Lucky Old Sun, Tangled Up In Blue		With Clarence Clemons. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	1
03/04/89	Orpheum Theatre	San Francisco	CA	How Sweet It Is To Be Loved By You, I Shall Be Released, Mission In The Rain, Get Out Of My Life, Simple Twist Of Fate, My Sisters And Brothers, Deal	Cats Under The Stars, Knockin' On Heaven's Door, Think, Evangeline, Gomorrah, Let's Spend The Night Together, Midnight Moonlight		Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	2
04/24/89	Sweetwater	Mill Valley	CA				Elvis Costello & Friends - Jerry played on: You Win Again, The Bottle Let Me Down, Why Don't You Love Me	2/6/96 0:00:00	3
05/19/89	Irvine Meadows Ampitheater	Irvine	CA	How Sweet It Is To Be Loved By You, Stop That Train, Get Out Of My Life, Run For The Roses, I Shall Be Released, Hope It Won't Be This Way, Deal	The Harder They Come, Waiting For A Miracle, Simple Twist Of Fate, Don't Let Go, That Lucky Old Sun, Midnight Moonlight		Bob Weir & Rob Wasserman opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	4
05/20/89	San Diego State Open Air Theater	San Diego	CA	Cats Under The Stars, Mission In The Rain, Forever Young, That's What Love Will Make You Do, Like A Road, My Sisters And Brothers, Deal	I'll Take A Melody, Mississippi Moon, Think, Evangeline, Gomorrah, Tangled Up In Blue		Bob Weir & Rob Wasserman opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	5
05/22/89	Universal Amphitheatre	Universal City	CA	How Sweet It Is To Be Loved By You, Stop That Train, Mission In The Rain, Waiting For A Miracle, The Night They Drove Old Dixie Down, And It Stoned Me, Deal	The Harder They Come, Forever Young, Think, Evangeline, That Lucky Old Sun, Midnight Moonlight		Bob Weir & Rob Wasserman opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	6
06/10/89	French's Camp, Eel River	Garberville	CA	I'll Take A Melody, They Love Each Other, Get Out Of My Life, Run For The Roses, Stop That Train, Mission In The Rain, My Sisters And Brothers, Deal	The Harder They Come, Waiting For A Miracle, I Shall Be Released, Think, Hope It Won't Be This Way, Don't Let Go, Evangeline, That Lucky Old Sun, Tangled Up In Blue		Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	7
08/26/89	Greek Theatre, U. Of California	Berkeley	CA	Cats Under The Stars, They Love Each Other, Forever Young, Run For The Roses, Mission In The Rain, The Harder They Come*, Deal	How Sweet It Is To Be Loved By You, Stop That Train, Waiting For A Miracle, Think, My Sisters And Brothers, That Lucky Old Sun, Midnight Moonlight		*=w/Jimmy Cliff. Jimmy Cliff opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	8
09/01/89	Merriweather Post Pavilion	Columbia	MD	How Sweet It Is To Be Loved By You, Stop That Train, Get Out Of My Life, Run For The Roses, Like A Road, My Sisters And Brothers, Deal	The Harder They Come, Mission In The Rain, Think, Mississippi Moon, Waiting For A Miracle, That Lucky Old Sun, Tangled Up In Blue		Bob Weir & Rob Wasserman opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	9
09/02/89	Merriweather Post Pavilion	Columbia	MD	I'll Take A Melody, They Love Each Other, Forever Young, That's What Love Will Make You Do, Knockin' On Heaven's Door, And It Stoned Me, Midnight Moonlight	Cats Under The Stars, Waiting For A Miracle, Simple Twist Of Fate, Evangeline, The Night They Drove Old Dixie Down, Don't Let Go		Bob Weir & Rob Wasserman opened. Jerry Garcia Acoustic Band. Jerry Garcia, John Kahn, David Kemper, David Nelson, Sandy Rothman	2/6/96 0:00:00	10
01/16/86	Keystone Palo Alto	Palo Alto	CA				Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	11
01/18/86	The Stone	San Francisco	CA	It Takes A Lot To Laugh It Takes A Train To Cry, Friend Of The Devil, Oh Babe It Ain't No Lie, Little Sadie, Run For The Roses, To Lay Me Down, Deep Elem Blues	Masterpiece, I've Been All Around This World, Jack-A-Roe, Bird Song, She Belongs To Me, Ripple, Goodnight Irene		Garcia & Kahn. Jerry Garcia, Gloria Jones, John Kahn, Gaylord Birch, Jaclyn LaBranch, Melvin Seals	2/4/96 0:00:00	12
